data_id,language,form,age,gender,mom_ed,comprehension,production
87136,English (British),TEDS Twos,23,Male,Secondary,42,42
87137,English (British),TEDS Twos,23,Female,Some Secondary,68,68
87138,English (British),TEDS Twos,23,Female,Some Secondary,69,69
87139,English (British),TEDS Twos,24,Female,Some Secondary,99,99
87140,English (British),TEDS Twos,24,Female,Some Secondary,84,84
87141,English (British),TEDS Twos,24,Female,College,83,83
87142,English (British),TEDS Twos,24,Female,College,0,0
87143,English (British),TEDS Twos,24,Male,Some Secondary,21,21
87144,English (British),TEDS Twos,24,Male,Some Secondary,23,23
87145,English (British),TEDS Twos,24,Female,Primary,61,61
87146,English (British),TEDS Twos,24,Female,Primary,49,49
87147,English (British),TEDS Twos,24,Male,Some College,11,11
87148,English (British),TEDS Twos,24,Male,Some College,13,13
87149,English (British),TEDS Twos,25,Male,Some Secondary,35,35
87150,English (British),TEDS Twos,25,Male,Some Secondary,24,24
87151,English (British),TEDS Twos,24,Female,NA,47,47
87152,English (British),TEDS Twos,24,Female,NA,48,48
87153,English (British),TEDS Twos,23,Male,Some Secondary,95,95
87154,English (British),TEDS Twos,23,Female,Some Secondary,64,64
87155,English (British),TEDS Twos,23,Male,None,45,45
87156,English (British),TEDS Twos,23,Female,None,41,41
87157,English (British),TEDS Twos,24,Female,Some Secondary,64,64
87158,English (British),TEDS Twos,24,Female,Some Secondary,63,63
87159,English (British),TEDS Twos,23,Female,Primary,59,59
87160,English (British),TEDS Twos,23,Female,Primary,57,57
87161,English (British),TEDS Twos,24,Male,Secondary,31,31
87162,English (British),TEDS Twos,24,Female,Secondary,61,61
87163,English (British),TEDS Twos,24,Female,Primary,11,11
87164,English (British),TEDS Twos,24,Male,Primary,31,31
87165,English (British),TEDS Twos,24,Male,Some Secondary,38,38
87166,English (British),TEDS Twos,24,Female,Some Secondary,44,44
87167,English (British),TEDS Twos,24,Male,Primary,52,52
87168,English (British),TEDS Twos,24,Male,Primary,47,47
87169,English (British),TEDS Twos,24,Female,NA,52,52
87170,English (British),TEDS Twos,24,Female,NA,55,55
87171,English (British),TEDS Twos,22,Male,Secondary,21,21
87172,English (British),TEDS Twos,22,Female,Secondary,29,29
87173,English (British),TEDS Twos,26,Female,Primary,90,90
87174,English (British),TEDS Twos,26,Female,Primary,91,91
87175,English (British),TEDS Twos,24,Female,Some Secondary,48,48
87176,English (British),TEDS Twos,24,Female,Some Secondary,47,47
87177,English (British),TEDS Twos,24,Male,Some Secondary,4,4
87178,English (British),TEDS Twos,24,Female,Some Secondary,5,5
87179,English (British),TEDS Twos,23,Male,Secondary,96,96
87180,English (British),TEDS Twos,23,Male,Secondary,95,95
87181,English (British),TEDS Twos,24,Female,Some Secondary,19,19
87182,English (British),TEDS Twos,24,Female,Some Secondary,6,6
